Species_Flora_Europaea;Species_POWO;Family;Endozoochorous;Epizoochorous;Thalassochorous;Anemochorous;Myrmecochorous;Vertebrate_hoarding;Freshwater Hydrochorous;Ballochorous;Further clarification needed;Tree_or_Shrub;Synonyms;References
Medicago secundiflora;Medicago secundiflora Durieu;Fabaceae;0;0;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Medicago suffruticosa;Medicago suffruticosa Ramond ex DC.;Fabaceae;0;0;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Medicago tenoreana;Medicago tenoreana Ser.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Medicago tornata;Medicago tornata (L.) Mill.;Fabaceae;0;1;0;0;0;0;0;0;EPI?;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago truncatula;Medicago truncatula Gaertn.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago turbinata;Medicago turbinata (L.) All.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Melampyrum arvense;Melampyrum arvense L.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Bojnanský V. & Fargašová A. (2007) Atlas of Seeds and Fruits of Central and East-European Flora: The Carpathian Mountains Region. Springer, A.A. Dordrecht | Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451 | Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
Melampyrum barbatum;Melampyrum barbatum Waldst. & Kit. ex Willd.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Bojnanský V. & Fargašová A. (2007) Atlas of Seeds and Fruits of Central and East-European Flora: The Carpathian Mountains Region. Springer, A.A. Dordrecht
Melampyrum bihariense;Melampyrum bihariense A.Kern.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;Melampyrum ambiguum;Bojnanský V. & Fargašová A. (2007) Atlas of Seeds and Fruits of Central and East-European Flora: The Carpathian Mountains Region. Springer, A.A. Dordrecht | Hartl 1974 in Chlumský J., Koutecký P., Jílková V.& Štech M. (2013) Roles of species-preferential seed dispersal by ants and endozoochory in Melampyrum (Orobanchaceae). Journal of Plant Ecology 6(3): 232-239
Melampyrum catalaunicum;Melampyrum catalaunicum Freyn;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451
Melampyrum ciliatum;Melampyrum ciliatum Boiss. & Heldr.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451
Melampyrum cristatum;Melampyrum cristatum L.;Orobanchaceae;0;0;0;0;1;0;0;0;;0;;Bojnanský V. & Fargašová A. (2007) Atlas of Seeds and Fruits of Central and East-European Flora: The Carpathian Mountains Region. Springer, A.A. Dordrecht | Romero T. (2009) Melampyrum L. In: Benedí C., Rico E., Güemes J. & Herrero A. (eds.) Flora Iberica (vol. XIII). Real Jardín Botánico. CSIC. Madrid, pp. 440-451 | Bresinsky A. (2014) Ants, plants and fungi: A view on some patterns of interaction and diversity. In: Lüttge U., Beyschlag W. & Cushman J. (eds.) Progress in Botany 75. Springer-Verlag, pp. 3-54 | Ortega-Olivencia A., Rodríguez-Riaño T., López J. & Valtueña F.J. (2021) Elaiosome-bearing plants from the Iberian Peninsula and the Balearic Islands. Biodiversity & Conservation 30: 1137-1163
