entity_ID,geo_entity,n_TEpis,n_AEpis,total_all,native_all,epiphyte_quotient_all,accidental_quotient_all,divergence_all
10573,Aldabra and Assumption,0,0,NA,NA,NA,NA,NA
10575,Altay,0,0,NA,NA,NA,NA,NA
10576,Aleutian Is.,0,0,NA,NA,NA,NA,NA
10577,Amur,0,0,NA,NA,NA,NA,NA
10580,Antarctica,0,0,NA,NA,NA,NA,NA
10586,Amsterdam-St.Paul Is.,0,0,NA,NA,NA,NA,NA
10587,Assam,0,0,NA,NA,NA,NA,NA
10588,Antipodean Is.,0,0,NA,NA,NA,NA,NA
10593,Bangladesh,0,0,NA,NA,NA,NA,NA
10601,Belize,0,0,NA,NA,NA,NA,NA
10607,Buryatiya,0,0,NA,NA,NA,NA,NA
10612,Brazil Southeast,0,0,NA,NA,NA,NA,NA
10614,Brazil South,0,0,NA,NA,NA,NA,NA
10615,Cabinda,0,0,NA,NA,NA,NA,NA
10620,Chagos Archipelago,0,0,NA,NA,NA,NA,NA
10622,China South-Central,0,0,NA,NA,NA,NA,NA
10625,Manchuria,0,0,NA,NA,NA,NA,NA
10626,China North-Central,0,0,NA,NA,NA,NA,NA
