site,taxon_name,genus_name,tree_sp,epi_count,epi_lat,epi_lon,dbh_cat,taxon_rank,total_trees,obs_count_dbh,spp_count_dbh,obs_count,spp_count,lon,lat,setting,obs_per10,spp_per10,dominanttree1,dominanttree2,dominanttree3,species,mode_key,mode_label,n_modes,source,dispersal_agent_summary
S04,Sambucus nigra,Sambucus,Salix,1,52.1264444444,4.4637361111,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Magnoliopsida,,Salix,1,52.1264305556,4.4636916667,60 - 90,class,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Magnoliopsida,NA,NA,NA,NA,NA
S04,Magnoliopsida,,Salix,1,52.1264305556,4.4637027778,60 - 90,class,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Magnoliopsida,NA,NA,NA,NA,NA
S04,Poaceae,,Salix,3,52.1264388889,4.4636861111,60 - 90,family,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Poaceae,unassisted,Unassisted,1,TRY_GenusFill,unassisted
S04,Quercus,Quercus,Salix,1,52.1264305556,4.4636972222,60 - 90,genus,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Quercus,epizoochorous,Epizoochorous,1,TRY_GenusFill,animal
S04,Anthriscus sylvestris,Anthriscus,Salix,1,52.1263694444,4.4636333333,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Fraxinus excelsior,Fraxinus,Salix,3,52.1263388889,4.4636333333,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Fraxinus excelsior,anemochorous,Anemochorous,1,EuDiS,wind
S04,Anthriscus sylvestris,Anthriscus,Salix,2,52.1263555556,4.4635833333,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Magnoliopsida,,Salix,1,52.1263472222,4.4635916667,30 - 60,class,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Magnoliopsida,NA,NA,NA,NA,NA
S04,Poaceae,,Salix,2,52.12635,4.4635944444,30 - 60,family,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Poaceae,unassisted,Unassisted,1,TRY_GenusFill,unassisted
S04,Glechoma hederacea,Glechoma,Salix,1,52.1263388889,4.4635861111,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Glechoma hederacea,myrmecochorous,Myrmecochorous,1,EuDiS,animal
S04,Fraxinus excelsior,Fraxinus,Salix,1,52.12635,4.4635833333,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Fraxinus excelsior,anemochorous,Anemochorous,1,EuDiS,wind
S04,Sambucus nigra,Sambucus,Salix,1,52.1263166667,4.4635694444,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Fraxinus,Fraxinus,Salix,2,52.1262944444,4.4635277778,30 - 60,genus,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Fraxinus,anemochorous,Anemochorous,1,TRY_GenusFill,wind
S04,Magnoliopsida,,Salix,1,52.1262777778,4.4634722222,30 - 60,class,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Magnoliopsida,NA,NA,NA,NA,NA
S04,Magnoliopsida,,Salix,1,52.12625,4.4635027778,30 - 60,class,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Magnoliopsida,NA,NA,NA,NA,NA
