species,dispersal_mode,source,genus,family,mode_key,mode_label,n_modes,agents_vec,dispersal_agent_multi,dispersal_agent_summary
Mikania salzmanniaefolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania sarcodes,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania schenckii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania sessilifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania setigera,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania smilacina,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania stylosa,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania subverticillata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania teixeirae,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania ternata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania thapsoides,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania thyrsoidea,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania triangularis,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania triphylla,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania virgata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania vismiifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania vitifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania warmingii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania ypacarayensis,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Milicia excelsa,epizoochorous_endozoochorous_freshwater-hydrochorous_unassisted,TRY,NA,NA,endozoochorous_epizoochorous_freshwater-hydrochorous_unassisted,Mixed,4,,animal_water_unassisted,mixed
