y,taxon_id,species_label,lon,lat,chelsa_ai_1981_2010_v_2_1,chelsa_bio10,chelsa_bio6,chelsa_sfc_wind_mean_1981_2010_v_2_1
1,119791,Acer_pseudoplatanus,-0.17972115860000001,51.4937983155,0.9586196541786194,16.750000000000057,1.8500000000000227,2.703
1,119791,Acer_pseudoplatanus,8.20195,53.245244,1.3423001766204834,16.55000000000001,-0.44999999999998863,3.779
1,125440,Fraxinus_excelsior,12.3873908587,47.4503983355,1.7366622686386108,16.55000000000001,-7.349999999999966,1.269
1,125440,Fraxinus_excelsior,5.3249704109,60.4021160623,5.817148208618164,14.050000000000011,-2.349999999999966,2.884
1,125440,Fraxinus_excelsior,8.8123034223,46.3168370513,2.557344913482666,14.850000000000025,-8.749999999999943,2.262
1,125440,Fraxinus_excelsior,8.2159188669,53.1124547495,1.263667345046997,16.850000000000023,-0.24999999999994316,3.501
1,125440,Fraxinus_excelsior,8.4460173547,53.2107023355,1.2705198526382446,16.750000000000057,-0.3499999999999659,5.237
1,125440,Fraxinus_excelsior,8.4568849722,53.2276079722,1.2764822244644165,16.750000000000057,-0.3499999999999659,4.809
1,125440,Fraxinus_excelsior,8.106275,53.557987,1.4671989679336548,16.450000000000045,0.05000000000001137,4.087
1,125440,Fraxinus_excelsior,8.104924,53.555179,1.4671989679336548,16.450000000000045,0.05000000000001137,4.087
1,125440,Fraxinus_excelsior,8.0452074856,53.5927879772,1.5648294687271118,16.450000000000045,0.35000000000002274,5.19
1,125440,Fraxinus_excelsior,8.0873476714,53.5526172528,1.4592896699905396,16.450000000000045,0.05000000000001137,3.813
1,125440,Fraxinus_excelsior,11.1311137676,47.6633759375,1.7195351123809814,16.950000000000045,-7.349999999999966,1.631
1,125440,Fraxinus_excelsior,11.1361209722,47.6668549722,1.7566263675689695,16.650000000000034,-7.549999999999955,1.768
1,125440,Fraxinus_excelsior,11.1548063904,47.7133369984,1.7320168018341064,16.850000000000023,-7.149999999999977,2.587
1,125440,Fraxinus_excelsior,11.1187906936,47.4703525803,1.6504383087158203,15.550000000000011,-8.749999999999943,1.685
1,125440,Fraxinus_excelsior,2.6946349722,48.3157339722,0.8580218553543091,19.05000000000001,1.0500000000000114,2.958
1,125440,Fraxinus_excelsior,2.69454325,48.31567005,0.8580218553543091,19.05000000000001,1.0500000000000114,2.958
1,125440,Fraxinus_excelsior,2.6946099722,48.3154639722,0.8580218553543091,19.05000000000001,1.0500000000000114,2.958
1,125440,Fraxinus_excelsior,2.694671,48.315395,0.8580218553543091,19.05000000000001,1.0500000000000114,2.958
1,125440,Fraxinus_excelsior,2.6871079722,48.320281,0.8750144839286804,18.950000000000045,1.0500000000000114,3.23
