site,id,lat,lon,presence,island_class
S21,303918396,49.42511,-2.35531,1,island
S21,303918392,49.42511,-2.35531,1,island
S22,no_id,49.46779,-2.44848,0,island
S22,303920199,49.46779,-2.44848,1,island
S22,303920188,49.46779,-2.44848,1,island
S22,303920192,49.46779,-2.44848,1,island
S22,303920189,49.46779,-2.44848,1,island
S22,303920207,49.46779,-2.44848,1,island
S23,303920792,49.4363576,-2.5379502,1,island
S23,no_id,49.4363576,-2.5379502,0,island
S23,303920787,49.4363576,-2.5379502,1,island
S23,303920790,49.4363576,-2.5379502,1,island
S24,303923466,49.2235024,-2.0409439,1,island
S24,303923468,49.2235024,-2.0409439,1,island
S24,303923476,49.2235024,-2.0409439,1,island
S24,303923463,49.2235024,-2.0409439,1,island
S24,303923461,49.2235024,-2.0409439,1,island
S24,303923459,49.2235024,-2.0409439,1,island
S24,303923460,49.2235024,-2.0409439,1,island
S24,303923464,49.2235024,-2.0409439,1,island
S24,303923465,49.2235024,-2.0409439,1,island
S24,303923467,49.2235024,-2.0409439,1,island
S24,303923473,49.2235024,-2.0409439,1,island
S24,no_id,49.2235024,-2.0409439,0,island
S25,no_id,48.6920164,-1.8508795,0,land
S26,no_id,48.2086909,-4.5127166,0,land
S27,no_id,48.212261,-4.5106993,0,land
S28,308631668,48.0353798,-4.5461875,1,land
S28,308631669,48.0353798,-4.5461875,1,land
S28,308631670,48.0353798,-4.5461875,1,land
S28,no_id,48.0353798,-4.5461875,0,land
S29,no_id,47.8927817,-3.9467547,0,land
S29,308632620,47.8927817,-3.9467547,1,land
S29,308632790,47.8927817,-3.9467547,1,land
S29,308633187,47.8927817,-3.9467547,1,land
S29,308633564,47.8927817,-3.9467547,1,land
S30,312845267,47.6413882,-2.9570603,1,land
S30,312845402,47.6413882,-2.9570603,1,land
S30,312845840,47.6413882,-2.9570603,1,land
S30,312847257,47.6413882,-2.9570603,1,land
S30,312847478,47.6413882,-2.9570603,1,land
S30,312848169,47.6413882,-2.9570603,1,land
S30,312848312,47.6413882,-2.9570603,1,land
S30,312848614,47.6413882,-2.9570603,1,land
S30,312848832,47.6413882,-2.9570603,1,land
S30,312849050,47.6413882,-2.9570603,1,land
S30,312849051,47.6413882,-2.9570603,1,land
S30,312849217,47.6413882,-2.9570603,1,land
S30,312849321,47.6413882,-2.9570603,1,land
S30,312849540,47.6413882,-2.9570603,1,land
S30,312845012,47.6413882,-2.9570603,1,land
S30,312845966,47.6413882,-2.9570603,1,land
S30,312846224,47.6413882,-2.9570603,1,land
S30,312846468,47.6413882,-2.9570603,1,land
S30,312846627,47.6413882,-2.9570603,1,land
S30,312846835,47.6413882,-2.9570603,1,land
S30,312846953,47.6413882,-2.9570603,1,land
S30,312847608,47.6413882,-2.9570603,1,land
S30,312844818,47.6413882,-2.9570603,1,land
S30,312849743,47.6413882,-2.9570603,1,land
S30,no_id,47.6413882,-2.9570603,0,land
S31,312883090,47.0080376,-2.2215573,1,island
S31,312883946,47.0080376,-2.2215573,1,island
S31,312885193,47.0080376,-2.2215573,1,island
S31,312885884,47.0080376,-2.2215573,1,island
S31,312886177,47.0080376,-2.2215573,1,island
S31,312887076,47.0080376,-2.2215573,1,island
S31,312887477,47.0080376,-2.2215573,1,island
S31,312890164,47.0080376,-2.2215573,1,island
S31,312882579,47.0080376,-2.2215573,1,island
S31,312883539,47.0080376,-2.2215573,1,island
S31,312884733,47.0080376,-2.2215573,1,island
S31,312886522,47.0080376,-2.2215573,1,island
S31,312889368,47.0080376,-2.2215573,1,island
S31,312889619,47.0080376,-2.2215573,1,island
S31,312889946,47.0080376,-2.2215573,1,island
S31,312891599,47.0080376,-2.2215573,1,island
S31,312892294,47.0080376,-2.2215573,1,island
S31,312892548,47.0080376,-2.2215573,1,island
S31,312912445,47.0080376,-2.2215573,1,island
S31,312913289,47.0080376,-2.2215573,1,island
S31,312913816,47.0080376,-2.2215573,1,island
S31,312914072,47.0080376,-2.2215573,1,island
S31,312890411,47.0080376,-2.2215573,1,island
S31,312912763,47.0080376,-2.2215573,1,island
S31,312914365,47.0080376,-2.2215573,1,island
S31,312892292,47.0080376,-2.2215573,1,island
S32,no_id,46.7133222,-2.3719248,0,island
S32,312915038,46.7133222,-2.3719248,1,island
S33,312917354,46.718419,-2.3561117,1,island
S33,312920614,46.718419,-2.3561117,1,island
S33,312921822,46.718419,-2.3561117,1,island
S33,312923187,46.718419,-2.3561117,1,island
S33,312917991,46.718419,-2.3561117,1,island
S33,312920295,46.718419,-2.3561117,1,island
S33,312920834,46.718419,-2.3561117,1,island
S33,312921119,46.718419,-2.3561117,1,island
S33,312923192,46.718419,-2.3561117,1,island
S33,312916874,46.718419,-2.3561117,1,island
S33,312921562,46.718419,-2.3561117,1,island
S33,312922104,46.718419,-2.3561117,1,island
S33,312922362,46.718419,-2.3561117,1,island
S33,no_id,46.718419,-2.3561117,0,island
S34,no_id,46.5707033,-1.826879,0,land
S34,312924061,46.5707033,-1.826879,1,land
S35,312926161,46.1851477,-1.3560716,1,island
S35,312926159,46.1851477,-1.3560716,1,island
S35,no_id,46.1851477,-1.3560716,0,island
S35,312926162,46.1851477,-1.3560716,1,island
S36,no_id,45.986231600000004,-1.2783358,0,island
S37,no_id,45.9809812,-1.2827651,0,island
S37,315591647,45.9809812,-1.2827651,1,island
S37,315592310,45.9809812,-1.2827651,1,island
S37,315592862,45.9809812,-1.2827651,1,island
S38,no_id,45.5527465,-1.0875819,0,land
S38,315594692,45.5527465,-1.0875819,1,land
S39,316694153,43.5107536,-1.5124803,1,land
S39,316694152,43.5107536,-1.5124803,1,land
S39,no_id,43.5107536,-1.5124803,0,land
S40,no_id,43.3718997,-1.822395,0,land
282013194,282013194,52.1570972222,4.5236583333,1,land
282004546,282004546,51.5027861111,3.624,1,land
324910431,324910431,43.3192972222,-1.7733472222,1,land
324904146,324904146,43.3583416667,-1.8057583333,1,land
324900083,324900083,43.3577305556,-1.8014055556,1,land
320679302,320679302,43.3701388889,-1.7772694444,1,land
320677489,320677489,43.3702083333,-1.7774333333,1,land
315740813,315740813,45.6239722222,-1.0259972222,1,land
315075316,315075316,55.0364611111,-7.9680305556,1,land
313384231,313384231,53.2642805556,-4.0901833333,1,island
312841355,312841355,46.4974861111,-1.7831805556,1,land
312841033,312841033,46.5447805556,-1.8100944444,1,land
312677656,312677656,47.0012638889,-2.2377083333,1,island
308136120,308136120,48.7589805556,-3.5370277778,1,land
305971893,305971893,48.7327222222,-3.4660833333,1,land
305826570,305826570,48.6352805556,-1.5111138889,1,land
305730665,305730665,49.1870277778,-2.1103527778,1,island
305268947,305268947,49.4700388889,-2.4521583333,1,island
305252352,305252352,48.6802944444,-1.8376805556,1,land
304178238,304178238,49.4698305556,-2.4525416667,1,island
304174880,304174880,49.4350472222,-2.3617527778,1,island
304173669,304173669,49.4371222222,-2.3642861111,1,island
304169631,304169631,49.4355944444,-2.3552472222,1,island
303930087,303930087,49.4320361111,-2.3566694444,1,island
293652273,293652273,49.6684444444,-1.2653972222,1,land
293650403,293650403,49.5874666667,-1.242175,1,land
292362784,292362784,49.2934833333,-0.089925,1,land
292020127,292020127,49.4094583333,0.2054694444,1,land
291744896,291744896,50.7292027778,1.7234055556,1,land
287506312,287506312,58.3552016944,8.5745696944,1,land
286989760,286989760,50.8812333333,3.6081555556,1,land
286989759,286989759,50.8812305556,3.6081638889,1,land
286989757,286989757,50.8811722222,3.60815,1,land
286989753,286989753,50.8811722222,3.60815,1,land
286989751,286989751,50.8812305556,3.6081638889,1,land
286989750,286989750,50.8812333333,3.6081555556,1,land
286981251,286981251,50.8892777778,3.5056694444,1,land
286980030,286980030,50.8808833333,3.496425,1,land
286760152,286760152,62.4392166111,6.1869768889,1,island
286759237,286759237,62.4417495556,6.1911849722,1,island
286738217,286738217,60.39694975,5.33218,1,land
286490691,286490691,50.871855,3.604057,1,land
286482482,286482482,58.749826,11.194809,1,land
286478142,286478142,58.367674,11.264076,1,land
284775452,284775452,58.056182,11.571242,1,island
284753450,284753450,51.5616571323,6.3476023921,1,land
284751930,284751930,51.5598555556,6.352925,1,land
284749110,284749110,51.1561666667,2.8114611111,1,land
282668189,282668189,55.9080194444,11.6653805556,1,land
282668149,282668149,56.1170222222,12.3549222222,1,land
282586959,282586959,55.4072833333,12.9088027778,1,land
282583889,282583889,53.8439138889,14.6176111111,1,land
282583886,282583886,53.8436472222,14.6175888889,1,land
282583085,282583085,54.0323305556,13.8846722222,1,land
282007060,282007060,52.1596916667,4.353925,1,land
282006323,282006323,52.3854472222,4.6085527778,1,land
282005646,282005646,51.5491833333,3.8005138889,1,land
282004549,282004549,51.5021361111,3.6133277778,1,land
282003831,282003831,51.5804972222,3.5620861111,1,land
282003249,282003249,51.1116944444,2.7247944444,1,land
279876197,279876197,52.4358555556,4.7143638889,1,land
278671994,278671994,52.1588694444,4.5304833333,1,land
278332243,278332243,52.158825,4.5303944444,1,land
270992840,270992840,52.47852,5.4241416667,1,land
243394821,243394821,53.1205188803,8.2238322956,1,land
228800490,228800490,53.142693,8.2174841997,1,land
226361135,226361135,53.184947,8.221895,1,land
224161103,224161103,53.1400324997,8.1991034,1,land
223761880,223761880,53.2624254997,7.9317807,1,land
220829449,220829449,53.153633,8.166126,1,land
219288896,219288896,53.1770740997,8.1888272997,1,land
218673252,218673252,53.1413833333,8.1637944444,1,land
217038359,217038359,53.1917333333,8.43095,1,land
217037838,217037838,53.1403416667,8.2185305556,1,land
213918937,213918937,51.1581415142,7.2307805159,1,land
199357770,199357770,53.1559494997,8.2125585,1,land
195570681,195570681,47.109211,11.810459,1,land
194016909,194016909,53.150518,8.166211,1,land
186835621,186835621,53.2240353997,8.1293939997,1,land
185123150,185123150,53.2270168,8.1130200997,1,land
182332002,182332002,46.307656,-0.6045439722,1,land
