id,tree_genus
16349425,Pukatea
163518512,Robinia
163525484,Tilia
163614621,Unknown
163681212,Platanus
163844383,Unknown
163852728,Arecaceae
163910675,Alsophila
164178450,Salix
164195019,Acer
164195271,Acer
164195776,Acer
164196614,Quercus
164197115,Unknown
164255743,Spathodea
164256487,Spathodea
164277185,Unknown
164321220,Quercus
164360862,Unknown
164613783,Carpinus
164873901,Unknown
165111335,Coenonympha
165111423,Coenonympha
165279901,Nikau
165291129,Metasequioa
165299830,Fagus
165331746,Pinus
165332272,Pinus
165332614,Pinus
165333031,Betula
165333423,Unknown
165333989,Pinus
165334889,Pinus
165334998,Pinus
165541994,Chestnut
165542917,Unknown
165545019,Acer
165546232,Acer
165547924,Junco
165796207,Unknown
16581648,Unknown
165922958,Salix
166028045,Phoenix
16618662,Unknown
166190840,Melia
166192898,Unknown
166382855,Unknown
166537528,Unknown
166537531,Unknown
166760022,Pinus
16686682,Lysimachia
16686683,Lysimachia
166932509,Alnus
16711273,Phyciodes
167115309,Cervus
167215826,Salix
167230907,Cervus
167233043,Limnodromus
167233677,Tragopogon
16727613,Caulophyllum
167509875,Sabal
167581051,Unknown
167655820,Quercus
167850065,Treefern
167871356,Unknown
167876748,Acanthiza
167876907,Tilia
167943172,Aesculus
167943750,Unknown
167944471,Unknown
167944716,Platanus
167945217,Robinia
167945693,Robinia
167945839,Ulmus
167945985,Aesculus
167946158,Aesculus
167946429,Acer
167948051,Aesculus
167950678,Platanus
167952462,Robinia
168027076,Robinia
168027200,Acer
168027302,Acer
168028151,Acer
168123680,Carpinus
168129903,Arecaceae
168166460,Darevskia
168231806,Podocarpus
168241059,Unknown
168264174,Cussonia
168396268,Cecropia
168400428,Cecropia
168442677,Olearia
168541462,Phoenix
168665648,Unknown
168771185,Melia
168771354,Melia
168776453,Melia
168779997,Melia
168832069,Phoenix
168993937,Sorbus
168994355,Betula
169073028,Unknown
169121766,Unknown
169127891,Celaenorrhinus
169128136,Celaenorrhinus
169128411,Sorbus
169128520,Scandosorbus
169148289,Acer
169148821,Fraxinus
169150211,Acer
169150603,Quercus
169151828,Fraxinus
169176326,Quercus
169177427,Fraxinus
169249082,Quercus
169433845,Unknown
169523239,Unknown
169722630,Unknown
169854557,Livistona
169855008,Unknown
170067072,Trachycarpus
170129201,Unknown
170256606,Quercus
170306557,Alnus
170316660,Quercus
170316704,Quercus
17045908,Unknown
1704895,Phocoderma
170687818,Unknown
170900928,Cervus
171212653,Gleditsia
171254950,Quercus
171262885,Californicae
17137838,Metrosideros
171698572,Salix
171702098,Macrozamia
171702748,Acer
171702897,Carpinus
171714744,Salix
171714787,Unknown
171714866,Acer
171721489,Salix
171722151,Salix
171722440,Salix
171752410,Acer
171752485,Unknown
171753822,Salix
171754863,Salix
171755953,Acer
171756313,Tilia
171763649,Acer
171778195,Unknown
172063745,Phoenix
172142695,Quercus
172322722,Liquidambar
172323990,Liquidambar
172437717,Nyssa
172478277,Unknown
172478279,Unknown
172478506,Unknown
1724975,Unknown
172743277,Unknown
172743286,Unknown
172753597,Unknown
172753604,Unknown
172753605,Unknown
172753607,Unknown
172753608,Unknown
172753610,Unknown
172753611,Unknown
172753612,Unknown
172753613,Unknown
172753623,Unknown
172753624,Acer
172753627,Unknown
172753635,Acer
172753641,Acer
172753646,Unknown
172753647,Unknown
172904131,Cervus
172945297,Unknown
172998308,Fagus
17307130,Hesperocyparis
173096242,Hemlock
173192211,Quercus
173192747,Quercus
173192811,Quercus
173193403,Sorbus
173193777,Betula
173193976,Betula
173194360,Betula
173396610,Phoenix
173402735,Phoenix
173418247,Phoenix
173473325,Sequoiadendron
173492865,Phoenix
173498801,Phoenix
173530267,Unknown
173689034,Phoenix
1737631,Malus
1737667,Malus
173773027,Lauraceae
173801940,Quercus
17390896,Silver
17392740,Platanus
17403165,Unknown
174783322,Unknown
174820413,Unknown
175059558,Cervus
175697225,Acer
175822462,Unknown
17583519,Treefern
175936602,Unknown
17604383,Californicae
176086926,Unknown
176115653,Unknown
176265067,Fraxinus
176265648,Fraxinus
176265991,Fraxinus
176266939,Peltodoris
176268006,Aesculus
176268113,Aesculus
176268544,Aesculus
176269320,Tilia
176269661,Aesculus
176270112,Tilia
176271510,Tilia
176272146,Aesculus
176273634,Aesculus
176300932,Unknown
176309710,Acer
176311481,Fraxinus
176324611,Acer
176325398,Acer
176393361,Pseudotsuga
176573508,Populus
176576206,Acer
176606982,Acer
176675057,Unknown
176738370,Californicae
176745947,Tilia
176746858,Fraxinus
17685248,Unknown
1768693,Alectryon
176927969,Unknown
176928577,Unknown
176935733,Cervus
17702682,Unknown
177070461,Unknown
177132706,Treefern
177216855,Prunus
177217481,Acer
177218122,Prunus
177219914,Prunus
177221781,Prunus
177224168,Prunus
177267469,Unknown
177308943,Cervus
177381966,Acer
177382514,Aesculus
177383340,Acer
177384144,Acer
177385900,Acer
177386396,Acer
177386968,Acer
177388804,Acer
177390845,Acer
177626742,Melia
177705037,Acer
177705804,Acer
177706457,Acer
177708787,Acer
177710947,Carpinus
177711487,Carpinus
177865207,Acer
177865281,Acer
177865809,Porzana
177866371,Acer
177866997,Fagus
177868166,Acer
177869048,Acer
177869246,Acer
177962818,Acer
177963452,Sambucus
177963802,Smeringurus
177965042,Acer
177965747,Acer
177966173,Acer
177966495,Acer
177966954,Acer
177970073,Fraxinus
177970301,Fraxinus
177977746,Acer
177977782,Prunus
177977848,Acer
177977908,Unknown
177978280,Porzana
177979325,Acer
177981497,Acer
177982501,Fagus
177982847,Fagus
177983853,Acer
177984289,Acer
177984760,Corvus
177985563,Acer
177985994,Acer
177986201,Corvus
177986541,Porzana
177987194,Acer
177987832,Acer
177988272,Acer
177988931,Acer
178177003,Quercus
178182163,Aesculus
178182780,Levenhookia
178185041,Turdus
178368206,Aesculus
178369142,Peltodoris
178618823,Unknown
178686607,Magnoliopsida
178773578,Unknown
179318635,Coenonympha
179318667,Fagus
179325741,Turdus
179327196,Tilia
179327275,Tilia
179327418,Tilia
179647230,Gymnosperm
179666085,Ulmus
179886863,Unknown
179930353,Unknown
17998348,Malus
18001828,Prunus
18001895,Prunus
18002366,Prunus
18011510,Californicae
18012756,Californicae
180686825,Spiraea
180686826,Spiraea
181124375,Arecaceae
181131162,Cervus
181135802,Zaprionus
181164249,Unknown
181471925,Unknown
181471926,Unknown
181524607,Treefern
181585747,Quercus
181630523,Prunus
181735748,Quercus
181746124,Platanus
181746561,Platanus
181747002,Platanus
181747314,Platanus
181747980,Platanus
181748533,Platanus
181749070,Platanus
181749567,Platanus
181750173,Platanus
181750322,Platanus
181750641,Platanus
181751520,Platanus
181751884,Platanus
181752942,Platanus
181832846,Laurus
181893104,Peltodoris
181963647,Cyathea
182034068,Platanus
182036432,Platanus
182038012,Unknown
182038013,Unknown
182043861,Melissodes
182087549,Unknown
182109024,Arecaceae
182149139,Unknown
182165208,Quercus
182214862,Salix
182222354,Quercus
182226736,Quercus
182226900,Quercus
182237113,Californicae
182265157,Verbascum
182306169,Platanus
182311994,Fraxinus
182312463,Fraxinus
182313572,Fraxinus
182313764,Ribes
182314031,Platanus
182314627,Fraxinus
182317331,Verbascum
182332002,Fraxinus
182356735,Ribes
182418682,Unknown
1824312,Mahoe
182800703,Platanus
182910292,Unknown
183173806,Unknown
183189773,Unknown
183215082,Acer
183221264,Platanus
183225674,Prunus
183377954,Cervus
183463988,Arecaceae
183470822,Arecaceae
183470985,Agave
183471765,Montereyzypresse
183471965,Montereyzypresse
183472089,Montereyzypresse
183472129,Arecaceae
183472824,Montereyzypresse
183472974,Montereyzypresse
183473454,Montereyzypresse
183473528,Quercus
183473639,Quercus
183473722,Montereyzypresse
183473779,Quercus
183510798,Laurus
183632758,Quercus
183669287,Quercus
183669687,Pinus
183670059,Robinia
183671323,Balearica
183674449,Levenhookia
183676729,Robinia
183676795,Lycaon
183676865,Lycaon
183773583,Unknown
183822399,Cervus
