site,TreeCat,NumberTrees,siteLat,siteLon,setting,dominanttree1,dominanttree2,dominanttree3,dominanttree4,dominanttree5,dominanttree6,V17,undergrowth,n_epis_per_site,n_sp_per_site,n_epis_per_site_cat,n_sp_per_site_cat,Name,area_ha
S37,10 - 30,90,45.9809812,-1.2827651,Rural,Pinus,Quercus ilex,"","","","","","",0,0,0,0,Site37_Ile_d'Oleron,0.275679696992
S37,30 - 60,50,45.9809812,-1.2827651,Rural,Pinus,Quercus ilex,"","","","","","",8,1,8,1,Site37_Ile_d'Oleron,0.275679696992
S37,60 - 90,1,45.9809812,-1.2827651,Rural,Pinus,Quercus ilex,"","","","","","",0,0,0,0,Site37_Ile_d'Oleron,0.275679696992
S37,90+,0,45.9809812,-1.2827651,Rural,Pinus,Quercus ilex,"","","","","","",0,0,0,0,Site37_Ile_d'Oleron,0.275679696992
S38,10 - 30,70,45.5527465,-1.0875819,Rural,Pinus,Quercus ilex,Quercus robur,Arbutus,"","","","",0,0,0,0,Site38_Verdon-sur-mer,0.329420213119
S38,30 - 60,52,45.5527465,-1.0875819,Rural,Pinus,Quercus ilex,Quercus robur,Arbutus,"","","","",1,1,1,1,Site38_Verdon-sur-mer,0.329420213119
S38,60 - 90,0,45.5527465,-1.0875819,Rural,Pinus,Quercus ilex,Quercus robur,Arbutus,"","","","",0,0,0,0,Site38_Verdon-sur-mer,0.329420213119
S38,90+,0,45.5527465,-1.0875819,Rural,Pinus,Quercus ilex,Quercus robur,Arbutus,"","","","",0,0,0,0,Site38_Verdon-sur-mer,0.329420213119
S39,10 - 30,34,43.5107536,-1.5124803,Rural,Pinus,Quercus ilex,Ilex,"","","","","",9,2,5,1,Site39_Bayonne,0.527463497391
S39,30 - 60,46,43.5107536,-1.5124803,Rural,Pinus,Quercus ilex,Ilex,"","","","","",9,2,4,1,Site39_Bayonne,0.527463497391
S39,60 - 90,28,43.5107536,-1.5124803,Rural,Pinus,Quercus ilex,Ilex,"","","","","",0,0,0,0,Site39_Bayonne,0.527463497391
S39,90+,0,43.5107536,-1.5124803,Rural,Pinus,Quercus ilex,Ilex,"","","","","",0,0,0,0,Site39_Bayonne,0.527463497391
S40,10 - 30,60,43.3718997,-1.822395,Rural,Castanea,Pinus,Quercus,"","","","","",0,0,0,0,Site40_Hondarribia,0
S40,30 - 60,50,43.3718997,-1.822395,Rural,Castanea,Pinus,Quercus,"","","","","",0,0,0,0,Site40_Hondarribia,0
S40,60 - 90,13,43.3718997,-1.822395,Rural,Castanea,Pinus,Quercus,"","","","","",0,0,0,0,Site40_Hondarribia,0
S40,90+,1,43.3718997,-1.822395,Rural,Castanea,Pinus,Quercus,"","","","","",0,0,0,0,Site40_Hondarribia,0
